dt,vix_close,prime_rate
1990-01-01,23.34727272727272,10.11
1990-02-01,10.0,10.0
1990-03-01,20.062272727272724,10.0
1990-04-01,21.4035,10.0
1990-05-01,18.097727272727273,10.0
1990-06-01,16.822380952380954,10.0
1990-07-01,18.392857142857146,10.0
1990-08-01,28.17521739130435,10.0
1990-09-01,29.107368421052637,10.0
1990-10-01,29.62565217391304,10.0
1990-11-01,24.885714285714283,10.0
1990-12-01,23.363000000000003,10.0
1991-01-01,27.429090909090903,9.52
1991-02-01,21.59842105263158,9.05
1991-03-01,17.82082403609516,9.0
1991-04-01,17.37272727272727,9.0
1991-05-01,16.93227272727273,8.5
1991-06-01,17.135000000000005,8.5
1991-07-01,17.29409090909091,8.5
1991-08-01,15.681363636363635,8.5
1991-09-01,16.956500000000005,8.2
1991-10-01,16.36391304347826,8.0
1991-11-01,17.773500000000002,7.58
1991-12-01,18.347619047619048,7.21
1992-01-01,17.68318181818182,6.5
1992-02-01,17.47736842105263,6.5
1992-03-01,17.520454545454548,6.5
1992-04-01,16.562857142857144,6.5
1992-05-01,15.076999999999998,6.5
1992-06-01,15.203181818181816,6.5
1992-07-01,13.601818181818182,6.02
1992-08-01,14.421904761904763,6.0
1992-09-01,13.696666666666669,6.0
1992-10-01,17.63681818181818,6.0
1992-11-01,14.4245,6.0
1992-12-01,12.191363636363638,6.0
1993-01-01,12.408999999999999,6.0
1993-02-01,13.72157894736842,6.0
1993-03-01,13.606086956521736,6.0
1993-04-01,12.840952380952384,6.0
1993-05-01,13.606,6.0
1993-06-01,12.52409090909091,6.0
1993-07-01,11.50047619047619,6.0
1993-08-01,11.928636363636365,6.0
1993-09-01,12.931428571428574,6.0
1993-10-01,11.875238095238094,6.0
1993-11-01,14.083809523809524,6.0
1993-12-01,11.356363636363637,6.0
1994-01-01,11.29047619047619,6.0
1994-02-01,13.64421052631579,6.0
1994-03-01,15.223478260869562,6.06
1994-04-01,16.471052631578946,6.45
1994-05-01,13.897142857142859,6.99
1994-06-01,13.408636363636367,7.25
1994-07-01,12.4845,7.25
1994-08-01,11.889130434782608,7.51
1994-09-01,13.233333333333333,7.75
1994-10-01,15.245238095238097,7.75
1994-11-01,16.38380952380952,8.15
1994-12-01,14.177142857142856,8.5
